chr1	11908157	11909423	1
chr1	11934721	11939752	1
chr1	15152629	15218501	1
chr1	15617623	15662273	1
chr1	15849293	15871319	1
chr1	16367244	16405975	1
chr1	16740541	16741225	1
chr1	19210276	19226050	1
chr1	19312289	19331912	1
chr1	19596903	19628637	1
chr1	19882296	19907459	1
chr1	20589002	20612697	1
chr1	22052601	22092646	1
chr1	22451079	22529761	1
chr1	23019333	23043004	1
chr1	23691805	23696424	1
chr1	23778393	23786363	1
chr1	23959818	23963782	1
chr1	12730237	12743501	0
chr1	12901799	12913954	0
chr1	15811984	15822533	0
chr1	16083933	16113671	0
chr1	16735782	16738809	0
chr1	16743416	16752326	0
chr1	17868486	18020610	0
chr1	19511700	19584115	0
chr1	19816036	19872300	0
chr1	19982849	19988705	0
chr1	20098992	20101972	0
chr1	20123156	20129603	0
chr1	20207773	20216312	0
chr1	20573786	20579129	0
chr1	22331591	22338723	0
chr1	24115537	24122837	0
