chr1	193096686	193106265	1
chr6	31827720	31829995	1
chr7	107168997	107200054	1
chr8	48007441	48062236	1
chr9	91408763	91424763	1
chr9	91724589	91960137	1
chr11	65261187	65299635	1
chr15	39580930	39598792	1
chr16	31083479	31088835	1
chr16	31090882	31094990	1
chr16	31180056	31195266	1
chr19	33193665	33208414	1
chr1	193091956	193095984	0
chr6	31821028	31826604	0
chr7	106702831	106853551	0
chr8	48090066	48106921	0
chr8	48107785	48155974	0
chr9	93693976	93766280	0
chr15	39515587	39530704	0
chr16	31098804	31104743	0
chr16	31153161	31154421	0
chr16	31226337	31240073	0
chr19	33181658	33190203	0
chr19	45651144	45665700	0
