chr1	11908157	11909423	1
chr1	11934721	11939752	1
chr1	15152629	15218501	1
chr1	15617623	15662273	1
chr1	15849293	15871319	1
chr1	16367244	16405975	1
chr1	16740541	16741225	1
chr1	19210276	19226050	1
chr1	19312289	19331912	1
chr1	19596903	19628637	1
chr1	19882296	19907459	1
chr1	20589002	20612697	1
chr1	22052601	22092646	1
chr1	22451079	22529761	1
chr1	23019333	23043004	1
chr1	23691805	23696424	1
chr1	23778393	23786363	1
chr1	23959818	23963782	1
chr1	149604903	149644407	1
chr2	85539015	85543985	1
chr2	85615923	85621067	1
chr5	69559897	69595630	1
chr6	31827720	31829995	1
chr7	107168997	107200054	1
chr8	48007441	48062236	1
chr11	65261187	65299635	1
chr15	28737266	28757724	1
chr15	30902109	30948513	1
chr15	39580930	39598792	1
chr16	31180056	31195266	1
chr19	33193665	33208414	1
chr19	33373499	33379946	1
chr21	15727631	15877464	1
chr1	12730237	12743501	0
chr1	12901799	12913954	0
chr1	15811984	15822533	0
chr1	16083933	16113671	0
chr1	16735782	16738809	0
chr1	16743416	16752326	0
chr1	17868486	18020610	0
chr1	19511700	19584115	0
chr1	19816036	19872300	0
chr1	19982849	19988705	0
chr1	20098992	20101972	0
chr1	20123156	20129603	0
chr1	20207773	20216312	0
chr1	20573786	20579129	0
chr1	22331591	22338723	0
chr1	24115537	24122837	0
chr1	193091956	193095984	0
chr2	85924278	85950970	0
chr5	69472787	69486082	0
chr6	31821028	31826604	0
chr7	106702831	106853551	0
chr8	48090066	48106921	0
chr8	48107785	48155974	0
chr9	93693976	93766280	0
chr15	39515587	39530704	0
chr15	27813770	28107449	0
chr16	31098804	31104743	0
chr16	31153161	31154421	0
chr16	31226337	31240073	0
chr19	33181658	33190203	0
chr19	45651144	45665700	0
chr21	15198174	15201670	0
chr21	22211643	22213639	0
